case_id	family	x	y	z	placements	notes
ctm-opaque-isolated	ctm	8	100	-80	1	opaque CTM isolated truth-class witness
ctm-opaque-up	ctm	16	100	-80	2	opaque CTM up truth-class witness
ctm-opaque-right	ctm	24	100	-80	2	opaque CTM right truth-class witness
ctm-opaque-corner-open	ctm	32	100	-80	3	opaque CTM corner-open truth-class witness
ctm-opaque-corner-closed	ctm	40	100	-80	4	opaque CTM corner-closed truth-class witness
ctm-opaque-all-eight	ctm	48	100	-80	9	opaque CTM all-eight truth-class witness
ctm-opaque-direct-face	ctm	56	100	-80	2	opaque CTM direct-face truth-class witness
ctm-transparent-isolated	ctm	64	100	-80	1	transparent CTM isolated truth-class witness
ctm-transparent-up	ctm	72	100	-80	2	transparent CTM up truth-class witness
ctm-transparent-right	ctm	80	100	-80	2	transparent CTM right truth-class witness
ctm-transparent-corner-open	ctm	8	100	-68	3	transparent CTM corner-open truth-class witness
ctm-transparent-corner-closed	ctm	16	100	-68	4	transparent CTM corner-closed truth-class witness
ctm-transparent-all-eight	ctm	24	100	-68	9	transparent CTM all-eight truth-class witness
ctm-transparent-direct-face	ctm	32	100	-68	2	transparent CTM direct-face truth-class witness
ctm-wool-isolated	ctm	40	100	-68	1	wool CTM isolated truth-class witness
ctm-wool-up	ctm	48	100	-68	2	wool CTM up truth-class witness
ctm-wool-right	ctm	56	100	-68	2	wool CTM right truth-class witness
ctm-wool-corner-open	ctm	64	100	-68	3	wool CTM corner-open truth-class witness
ctm-wool-corner-closed	ctm	72	100	-68	4	wool CTM corner-closed truth-class witness
ctm-wool-all-eight	ctm	80	100	-68	9	wool CTM all-eight truth-class witness
ctm-wool-direct-face	ctm	8	100	-56	2	wool CTM direct-face truth-class witness
ctm-face-basis-north	ctm	16	100	-56	4	vertical north face-local up/left/diagonal basis
ctm-face-basis-south	ctm	24	100	-56	4	vertical south face-local up/left/diagonal basis
ctm-face-basis-west	ctm	32	100	-56	4	vertical west face-local up/left/diagonal basis
ctm-face-basis-east	ctm	40	100	-56	4	vertical east face-local up/left/diagonal basis
pillar-x-singleton	pillar	48	100	-56	1	axis x cap and self texture
pillar-x-end	pillar	56	100	-56	2	axis x top/bottom endpoints
pillar-x-middle	pillar	64	100	-56	3	axis x center chain texture
pillar-ice-x	pillar	72	100	-56	1	transparent axis x alpha and UV witness
pillar-y-singleton	pillar	80	100	-56	1	axis y cap and self texture
pillar-y-end	pillar	8	100	-44	2	axis y top/bottom endpoints
pillar-y-middle	pillar	16	100	-44	3	axis y center chain texture
pillar-ice-y	pillar	24	100	-44	1	transparent axis y alpha and UV witness
pillar-z-singleton	pillar	32	100	-44	1	axis z cap and self texture
pillar-z-end	pillar	40	100	-44	2	axis z top/bottom endpoints
pillar-z-middle	pillar	48	100	-44	3	axis z center chain texture
