index	block_id	loader_family	x	y	z
0	chipped:acacia_planks_panel	ctm	-86	100	-86
1	chipped:arched_black_stained_glass_pane_pillar	pane_pillar	-84	100	-86
2	chipped:arched_black_stained_glass_pillar	limited_pillar	-82	100	-86
3	chipped:arched_blue_stained_glass_pane_pillar	pane_pillar	-80	100	-86
4	chipped:arched_blue_stained_glass_pillar	limited_pillar	-78	100	-86
5	chipped:arched_brown_stained_glass_pane_pillar	pane_pillar	-76	100	-86
6	chipped:arched_brown_stained_glass_pillar	limited_pillar	-74	100	-86
7	chipped:arched_cyan_stained_glass_pane_pillar	pane_pillar	-72	100	-86
8	chipped:arched_cyan_stained_glass_pillar	limited_pillar	-70	100	-86
9	chipped:arched_gray_stained_glass_pane_pillar	pane_pillar	-68	100	-86
10	chipped:arched_gray_stained_glass_pillar	limited_pillar	-66	100	-86
11	chipped:arched_green_stained_glass_pane_pillar	pane_pillar	-64	100	-86
12	chipped:arched_green_stained_glass_pillar	limited_pillar	-62	100	-86
13	chipped:arched_leaded_glass_pane_pillar	pane_pillar	-60	100	-86
14	chipped:arched_leaded_glass_pillar	limited_pillar	-58	100	-86
15	chipped:arched_light_blue_stained_glass_pane_pillar	pane_pillar	-56	100	-86
16	chipped:arched_light_blue_stained_glass_pillar	limited_pillar	-54	100	-86
17	chipped:arched_light_gray_stained_glass_pane_pillar	pane_pillar	-52	100	-86
18	chipped:arched_light_gray_stained_glass_pillar	limited_pillar	-50	100	-86
19	chipped:arched_lime_stained_glass_pane_pillar	pane_pillar	-48	100	-86
20	chipped:arched_lime_stained_glass_pillar	limited_pillar	-46	100	-86
21	chipped:arched_magenta_stained_glass_pane_pillar	pane_pillar	-44	100	-86
22	chipped:arched_magenta_stained_glass_pillar	limited_pillar	-42	100	-86
23	chipped:arched_orange_stained_glass_pane_pillar	pane_pillar	-40	100	-86
24	chipped:arched_orange_stained_glass_pillar	limited_pillar	-38	100	-86
25	chipped:arched_pink_stained_glass_pane_pillar	pane_pillar	-36	100	-86
26	chipped:arched_pink_stained_glass_pillar	limited_pillar	-34	100	-86
27	chipped:arched_purple_stained_glass_pane_pillar	pane_pillar	-32	100	-86
28	chipped:arched_purple_stained_glass_pillar	limited_pillar	-30	100	-86
29	chipped:arched_red_stained_glass_pane_pillar	pane_pillar	-28	100	-86
30	chipped:arched_red_stained_glass_pillar	limited_pillar	-26	100	-86
31	chipped:arched_white_stained_glass_pane_pillar	pane_pillar	-24	100	-86
32	chipped:arched_white_stained_glass_pillar	limited_pillar	-22	100	-86
33	chipped:arched_yellow_stained_glass_pane_pillar	pane_pillar	-20	100	-86
34	chipped:arched_yellow_stained_glass_pillar	limited_pillar	-18	100	-86
35	chipped:bamboo_planks_panel	ctm	-16	100	-86
36	chipped:birch_planks_panel	ctm	-14	100	-86
37	chipped:black_concrete_panel	ctm	-12	100	-86
38	chipped:black_concrete_pillar	pillar	-10	100	-86
39	chipped:black_terracotta_column	pillar	-86	100	-84
40	chipped:black_terracotta_pillar	pillar	-84	100	-84
41	chipped:blue_concrete_panel	ctm	-82	100	-84
42	chipped:blue_concrete_pillar	pillar	-80	100	-84
43	chipped:blue_terracotta_column	pillar	-78	100	-84
44	chipped:blue_terracotta_pillar	pillar	-76	100	-84
45	chipped:bordered_amethyst_block	ctm	-74	100	-84
46	chipped:bordered_ancient_debris	ctm	-72	100	-84
47	chipped:bordered_andesite	ctm	-70	100	-84
48	chipped:bordered_basalt	ctm	-68	100	-84
49	chipped:bordered_blackstone	ctm	-66	100	-84
50	chipped:bordered_blue_ice	ctm	-64	100	-84
51	chipped:bordered_borderless_bricks	ctm	-62	100	-84
52	chipped:bordered_bricks	ctm	-60	100	-84
53	chipped:bordered_calcite	ctm	-58	100	-84
54	chipped:bordered_clay	ctm	-56	100	-84
55	chipped:bordered_coal_block	ctm	-54	100	-84
56	chipped:bordered_cobblestone	ctm	-52	100	-84
57	chipped:bordered_crying_obsidian	ctm	-50	100	-84
58	chipped:bordered_dark_prismarine	ctm	-48	100	-84
59	chipped:bordered_deepslate	ctm	-46	100	-84
60	chipped:bordered_diorite	ctm	-44	100	-84
61	chipped:bordered_dirt	ctm	-42	100	-84
62	chipped:bordered_dripstone_block	ctm	-40	100	-84
63	chipped:bordered_end_stone	ctm	-38	100	-84
64	chipped:bordered_gilded_blackstone	ctm	-36	100	-84
65	chipped:bordered_granite	ctm	-34	100	-84
66	chipped:bordered_ice	ctm	-32	100	-84
67	chipped:bordered_lapis_block	ctm	-30	100	-84
68	chipped:bordered_lodestone	ctm	-28	100	-84
69	chipped:bordered_magma_block	ctm	-26	100	-84
70	chipped:bordered_mossy_cobblestone	ctm	-24	100	-84
71	chipped:bordered_mossy_stone_bricks	ctm	-22	100	-84
72	chipped:bordered_mud	ctm	-20	100	-84
73	chipped:bordered_mud_bricks	ctm	-18	100	-84
74	chipped:bordered_nether_bricks	ctm	-16	100	-84
75	chipped:bordered_netherrack	ctm	-14	100	-84
76	chipped:bordered_obsidian	ctm	-12	100	-84
77	chipped:bordered_packed_ice	ctm	-10	100	-84
78	chipped:bordered_packed_mud	ctm	-86	100	-82
79	chipped:bordered_prismarine	ctm	-84	100	-82
80	chipped:bordered_purpur_block	ctm	-82	100	-82
81	chipped:bordered_quartz_block	ctm	-80	100	-82
82	chipped:bordered_raw_copper_block	ctm	-78	100	-82
83	chipped:bordered_raw_gold_block	ctm	-76	100	-82
84	chipped:bordered_raw_iron_block	ctm	-74	100	-82
85	chipped:bordered_red_nether_bricks	ctm	-72	100	-82
86	chipped:bordered_red_sandstone	ctm	-70	100	-82
87	chipped:bordered_redstone_block	ctm	-68	100	-82
88	chipped:bordered_sandstone	ctm	-66	100	-82
89	chipped:bordered_smooth_stone	ctm	-64	100	-82
90	chipped:bordered_snow_block	ctm	-62	100	-82
91	chipped:bordered_stone	ctm	-60	100	-82
92	chipped:bordered_tuff	ctm	-58	100	-82
93	chipped:brick_bordered_amethyst_block	ctm	-56	100	-82
94	chipped:brick_bordered_ancient_debris	ctm	-54	100	-82
95	chipped:brick_bordered_andesite	ctm	-52	100	-82
96	chipped:brick_bordered_basalt	ctm	-50	100	-82
97	chipped:brick_bordered_blackstone	ctm	-48	100	-82
98	chipped:brick_bordered_blue_ice	ctm	-46	100	-82
99	chipped:brick_bordered_borderless_bricks	ctm	-44	100	-82
100	chipped:brick_bordered_bricks	ctm	-42	100	-82
101	chipped:brick_bordered_calcite	ctm	-40	100	-82
102	chipped:brick_bordered_clay	ctm	-38	100	-82
103	chipped:brick_bordered_coal_block	ctm	-36	100	-82
104	chipped:brick_bordered_cobblestone	ctm	-34	100	-82
105	chipped:brick_bordered_crying_obsidian	ctm	-32	100	-82
106	chipped:brick_bordered_dark_prismarine	ctm	-30	100	-82
107	chipped:brick_bordered_deepslate	ctm	-28	100	-82
108	chipped:brick_bordered_diorite	ctm	-26	100	-82
109	chipped:brick_bordered_dirt	ctm	-24	100	-82
110	chipped:brick_bordered_dripstone_block	ctm	-22	100	-82
111	chipped:brick_bordered_end_stone	ctm	-20	100	-82
112	chipped:brick_bordered_gilded_blackstone	ctm	-18	100	-82
113	chipped:brick_bordered_granite	ctm	-16	100	-82
114	chipped:brick_bordered_ice	ctm	-14	100	-82
115	chipped:brick_bordered_lapis_block	ctm	-12	100	-82
116	chipped:brick_bordered_lodestone	ctm	-10	100	-82
117	chipped:brick_bordered_magma_block	ctm	-86	100	-80
118	chipped:brick_bordered_mossy_cobblestone	ctm	-84	100	-80
119	chipped:brick_bordered_mossy_stone_bricks	ctm	-82	100	-80
120	chipped:brick_bordered_mud	ctm	-80	100	-80
121	chipped:brick_bordered_mud_bricks	ctm	-78	100	-80
122	chipped:brick_bordered_nether_bricks	ctm	-76	100	-80
123	chipped:brick_bordered_netherrack	ctm	-74	100	-80
124	chipped:brick_bordered_obsidian	ctm	-72	100	-80
125	chipped:brick_bordered_packed_ice	ctm	-70	100	-80
126	chipped:brick_bordered_packed_mud	ctm	-68	100	-80
127	chipped:brick_bordered_prismarine	ctm	-66	100	-80
128	chipped:brick_bordered_purpur_block	ctm	-64	100	-80
129	chipped:brick_bordered_quartz_block	ctm	-62	100	-80
130	chipped:brick_bordered_raw_copper_block	ctm	-60	100	-80
131	chipped:brick_bordered_raw_gold_block	ctm	-58	100	-80
132	chipped:brick_bordered_raw_iron_block	ctm	-56	100	-80
133	chipped:brick_bordered_red_nether_bricks	ctm	-54	100	-80
134	chipped:brick_bordered_red_sandstone	ctm	-52	100	-80
135	chipped:brick_bordered_redstone_block	ctm	-50	100	-80
136	chipped:brick_bordered_sandstone	ctm	-48	100	-80
137	chipped:brick_bordered_smooth_stone	ctm	-46	100	-80
138	chipped:brick_bordered_snow_block	ctm	-44	100	-80
139	chipped:brick_bordered_stone	ctm	-42	100	-80
140	chipped:brick_bordered_tuff	ctm	-40	100	-80
141	chipped:bricked_mangrove_planks	ctm	-38	100	-80
142	chipped:brown_concrete_panel	ctm	-36	100	-80
143	chipped:brown_concrete_pillar	pillar	-34	100	-80
144	chipped:brown_terracotta_column	pillar	-32	100	-80
145	chipped:brown_terracotta_pillar	pillar	-30	100	-80
146	chipped:carved_mud_bricks_pillar	pillar	-28	100	-80
147	chipped:carved_mud_pillar	pillar	-26	100	-80
148	chipped:carved_packed_mud_pillar	pillar	-24	100	-80
149	chipped:cherry_planks_panel	ctm	-22	100	-80
150	chipped:circular_black_terracotta	giant	-20	100	-80
151	chipped:circular_blue_terracotta	giant	-18	100	-80
152	chipped:circular_brown_terracotta	giant	-16	100	-80
153	chipped:circular_cyan_terracotta	giant	-14	100	-80
154	chipped:circular_gray_terracotta	giant	-12	100	-80
155	chipped:circular_green_terracotta	giant	-10	100	-80
156	chipped:circular_light_blue_terracotta	giant	-86	100	-78
157	chipped:circular_light_gray_terracotta	giant	-84	100	-78
158	chipped:circular_lime_terracotta	giant	-82	100	-78
159	chipped:circular_magenta_terracotta	giant	-80	100	-78
160	chipped:circular_orange_terracotta	giant	-78	100	-78
161	chipped:circular_pink_terracotta	giant	-76	100	-78
162	chipped:circular_purple_terracotta	giant	-74	100	-78
163	chipped:circular_red_terracotta	giant	-72	100	-78
164	chipped:circular_terracotta	giant	-70	100	-78
165	chipped:circular_white_terracotta	giant	-68	100	-78
166	chipped:circular_yellow_terracotta	giant	-66	100	-78
167	chipped:clear_leaded_glass	ctm	-64	100	-78
168	chipped:clear_leaded_glass_pane	pane_ctm	-62	100	-78
169	chipped:cornered_acacia_planks	ctm	-60	100	-78
170	chipped:cornered_bamboo_planks	ctm	-58	100	-78
171	chipped:cornered_birch_planks	ctm	-56	100	-78
172	chipped:cornered_black_carpet	carpet_ctm	-54	100	-78
173	chipped:cornered_black_wool	ctm	-52	100	-78
174	chipped:cornered_blue_carpet	carpet_ctm	-50	100	-78
175	chipped:cornered_blue_wool	ctm	-48	100	-78
176	chipped:cornered_brown_carpet	carpet_ctm	-46	100	-78
177	chipped:cornered_brown_wool	ctm	-44	100	-78
178	chipped:cornered_cherry_planks	ctm	-42	100	-78
179	chipped:cornered_crimson_planks	ctm	-40	100	-78
180	chipped:cornered_cyan_carpet	carpet_ctm	-38	100	-78
181	chipped:cornered_cyan_wool	ctm	-36	100	-78
182	chipped:cornered_dark_oak_planks	ctm	-34	100	-78
183	chipped:cornered_gray_carpet	carpet_ctm	-32	100	-78
184	chipped:cornered_gray_wool	ctm	-30	100	-78
185	chipped:cornered_green_carpet	carpet_ctm	-28	100	-78
186	chipped:cornered_green_wool	ctm	-26	100	-78
187	chipped:cornered_jungle_planks	ctm	-24	100	-78
188	chipped:cornered_light_blue_carpet	carpet_ctm	-22	100	-78
189	chipped:cornered_light_blue_wool	ctm	-20	100	-78
190	chipped:cornered_light_gray_carpet	carpet_ctm	-18	100	-78
191	chipped:cornered_light_gray_wool	ctm	-16	100	-78
192	chipped:cornered_lime_carpet	carpet_ctm	-14	100	-78
193	chipped:cornered_lime_wool	ctm	-12	100	-78
194	chipped:cornered_magenta_carpet	carpet_ctm	-10	100	-78
195	chipped:cornered_magenta_wool	ctm	-86	100	-76
196	chipped:cornered_mangrove_planks	ctm	-84	100	-76
197	chipped:cornered_oak_planks	ctm	-82	100	-76
198	chipped:cornered_orange_carpet	carpet_ctm	-80	100	-76
199	chipped:cornered_orange_wool	ctm	-78	100	-76
200	chipped:cornered_pink_carpet	carpet_ctm	-76	100	-76
201	chipped:cornered_pink_wool	ctm	-74	100	-76
202	chipped:cornered_purple_carpet	carpet_ctm	-72	100	-76
203	chipped:cornered_purple_wool	ctm	-70	100	-76
204	chipped:cornered_red_carpet	carpet_ctm	-68	100	-76
205	chipped:cornered_red_wool	ctm	-66	100	-76
206	chipped:cornered_spruce_planks	ctm	-64	100	-76
207	chipped:cornered_warped_planks	ctm	-62	100	-76
208	chipped:cornered_white_carpet	carpet_ctm	-60	100	-76
209	chipped:cornered_white_wool	ctm	-58	100	-76
210	chipped:cornered_yellow_carpet	carpet_ctm	-56	100	-76
211	chipped:cornered_yellow_wool	ctm	-54	100	-76
212	chipped:crafted_black_carpet	carpet_ctm	-52	100	-76
213	chipped:crafted_black_wool	ctm	-50	100	-76
